CustomerID,first_purchase,last_purchase,frequency,total_quantity,avg_quantity,avg_unit_price,total_spent,avg_transaction,std_transaction,recency,lifespan_days,avg_days_between_purchases,purchases_per_month,avg_order_value,predicted_clv,value_category
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,7,2458,13.505494505494505,2.644010989010989,4310.0,23.681318681318682,23.289902310501176,1,365,52.142857142857146,0.5753424657534247,615.7142857142857,4219.5435080952375,VIP
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,4,2341,75.51612903225806,5.764838709677419,1797.24,57.97548387096774,48.51485730087981,74,282,70.5,0.425531914893617,449.31,4029.5796913095237,VIP
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,1,631,8.643835616438356,8.289041095890411,1757.55,24.076027397260273,34.6559127045895,18,0,0.0,0.0,1757.55,1785.8111317279943,VIP
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,11.588235294117647,3.841176470588235,334.40000000000003,19.67058823529412,7.275538185065965,309,0,0.0,0.0,334.40000000000003,365.3618597724425,Medium Value
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,8,536,6.305882352941176,15.93070588235294,2506.04,29.482823529411764,51.68790029756352,35,260,32.5,0.9230769230769231,313.255,2393.436111746033,VIP
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,5.0,6.074999999999999,89.0,22.25,12.215427404174878,203,0,0.0,0.0,89.0,106.07918033779023,Low Value
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,9.137931034482758,4.5037931034482765,1079.4,18.610344827586207,8.679742086377074,231,0,0.0,0.0,1079.4,1122.0613512475973,High Value
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,18.46153846153846,4.203846153846154,459.40000000000003,35.338461538461544,29.70352219466962,213,0,0.0,0.0,459.40000000000003,502.91150401154425,Medium Value
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1591,26.966101694915253,3.201186440677966,2811.43,47.65135593220339,48.5722968956169,22,302,100.66666666666667,0.2980132450331126,937.1433333333333,3079.402142582417,VIP
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,20.671755725190838,3.3486259541984733,6207.67,47.38679389312977,39.56476161876249,32,0,0.0,0.0,1786.2049999999992,5701.595434761905,VIP
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,2,248,13.052631578947368,8.27421052631579,1168.06,61.47684210526315,52.27752321904825,1,149,74.5,0.40268456375838924,584.03,1166.4661716666665,High Value
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,4,1622,6.540322580645161,8.620403225806452,6372.58,25.695887096774193,31.33620817089572,57,274,68.5,0.43795620437956206,1593.145,4897.651746147188,VIP
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,3,1165,9.031007751937985,3.5496899224806198,2662.06,20.63612403100775,21.39461772670865,51,148,49.333333333333336,0.6081081081081081,887.3533333333334,2511.49615756505,VIP
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,91,9.1,3.335,189.9,18.990000000000002,3.280396317520186,286,0,0.0,0.0,189.9,196.82324788240084,Low Value
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,10,2229,8.3796992481203,3.94093984962406,5226.2300000000005,19.64748120300752,9.664671282056695,2,292,29.2,1.0273972602739727,522.623,4501.469556388889,VIP
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,17.73913043478261,2.3117391304347827,552.0,24.0,15.751238912311859,109,132,66.0,0.45454545454545453,276.0,593.5071388308717,Medium Value
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,17.71764705882353,1.910235294117647,1313.1,15.448235294117646,8.910810071730502,7,104,26.0,1.1538461538461537,328.275,1458.77090193057,High Value
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,7.909090909090909,17.150454545454547,641.38,29.153636363636362,65.1966351414414,290,0,0.0,0.0,320.69,528.2360746428571,Medium Value
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,15.727272727272727,3.2,168.9,15.354545454545455,5.648958069655612,3,0,0.0,0.0,168.9,188.68818607142856,Low Value
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,4,2353,14.089820359281438,2.800299401197605,3545.69,21.231676646706585,21.116236420001904,50,309,77.25,0.3883495145631068,886.4225,3723.6512116071417,VIP
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,2,591,9.380952380952381,3.8742857142857146,1887.96,29.96761904761905,44.277857887191665,44,14,7.0,4.285714285714286,943.98,1611.8145900216448,High Value
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,15.26923076923077,3.001346153846154,1298.04,24.962307692307693,16.38258168926466,71,224,74.66666666666667,0.4017857142857143,432.68,1363.5058922985354,High Value
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,197,14.071428571428571,4.582142857142857,364.6,26.042857142857144,10.260282968486132,310,0,0.0,0.0,364.6,406.82420269591535,Medium Value
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,1,342,10.363636363636363,4.21969696969697,742.9300000000001,22.513030303030305,19.774010639733735,24,0,0.0,0.0,742.9300000000001,679.9800564131546,High Value
